id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
233588,"Memória Kingston UDIMM, 8GB, 1600MHz, DDR3, Para Desktop KVR16N11/8",0.0,180.9,170.05,6,5,42,True,Kingston,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,False,https://www.kabum.com.br/produto/233588/memoria-kingston-udimm-8gb-1600mhz-ddr3-para-desktop-kvr16n11-8
532904,"Memoria Kingston, 16GB, 2400MHz, DDR4, P/ Notebook - Kvr24s17d8/16",0.0,810.99,754.22,7,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/2400MHz,Sem Garantia,False,https://www.kabum.com.br/produto/532904/memoria-kingston-16gb-2400mhz-ddr4-p-notebook-kvr24s17d8-16
581703,"Memória Crucial Basics, 8GB, 3200MHz, DDR4, Udimm - Cb8gu3200",0.0,600.0,492.0,18,0,0,True,Crucial,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,True,https://www.kabum.com.br/produto/581703/memoria-crucial-basics-8gb-3200mhz-ddr4-udimm-cb8gu3200
506073,"Memoria RAM para Notebook  Kingston 16GB, 2666MHz, DDR4 - KVR26S19S8/16",0.0,810.99,754.22,7,5,2,True,Kingston,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/506073/memoria-ram-para-notebook-kingston-16gb-2666mhz-ddr4-kvr26s19s8-16
466683,"Memória RAM Gamer Rise Mode Venon, ARGB, 8GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-8G-3200-RGB",870.58,870.58,739.99,15,5,41,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/466683/memoria-ram-gamer-rise-mode-venon-argb-8gb-3200mhz-ddr4-cl19-preto-rm-d4-8g-3200-rgb
505706,"Memória 8GB, DDR5 5600mhz Kingston Fury Beast, Preto - Kf556c40bb-8",0.0,1249.9,1249.9,0,5,1,True,Kingston FURY,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/505706/memoria-8gb-ddr5-5600mhz-kingston-fury-beast-preto-kf556c40bb-8
383893,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Branco - RM-D4-8G-3200ZW",0.0,629.4,534.99,15,5,255,True,Rise Mode,Hardware/Memória RAM/DDR 4/3200MHz,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/383893/memoria-ram-rise-mode-z-8gb-3200mhz-ddr4-cl19-branco-rm-d4-8g-3200zw
532646,"Memoria Kingston, 8GB, DDR3, 1333mhz - Kvr1333d3n9/8g.",0.0,180.9,168.24,7,0,0,True,Kingston,Hardware/Memória RAM,Sem Garantia,False,https://www.kabum.com.br/produto/532646/memoria-kingston-8gb-ddr3-1333mhz-kvr1333d3n9-8g-
163762,"Memória RAM Kingston, 8GB, 2400MHz, DDR4, CL17 - KVR24N17S8/8",0.0,500.79,465.73,7,5,9,True,Kingston,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/163762/memoria-ram-kingston-8gb-2400mhz-ddr4-cl17-kvr24n17s8-8
564690,Memoria   8GB P/ Notebook Kingston Ddr4 3200mhz Kvr32s22s8/8,0.0,500.79,465.73,7,5,1,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/564690/memoria-8gb-p-notebook-kingston-ddr4-3200mhz-kvr32s22s8-8
