data_coleta,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-04-16,385267,"Memória RAM Corsair Vengeance para AMD, 32GB (2x16GB), 5600MHz, DDR5, CL36, Preto - CMK32GX5M2B5600Z36",0.0,5282.34,4489.99,15,4,7,True,Corsair,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/385267/memoria-ram-corsair-vengeance-para-amd-32gb-2x16gb-5600mhz-ddr5-cl36-preto-cmk32gx5m2b5600z36
2026-04-16,921678,"Memoria RAM Adata, 32GB (1x32GB), DDR5, 4800MHz, C40 - AD5U480032G-S",3977.26,3977.26,3499.99,12,0,0,True,XPG,Hardware/Memória RAM/DDR 5/4800MHz,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/921678/memoria-ram-adata-32gb-1x32gb-ddr5-4800mhz-c40-ad5u480032g-s
2026-04-16,531286,"Memória Redragon Solar, 8GB, 3600mhz, RGB, DDR4, Dimm Amd/intel - Gm-805",0.0,999.99,899.99,10,0,0,True,Redragon,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/531286/memoria-redragon-solar-8gb-3600mhz-rgb-ddr4-dimm-amd-intel-gm-805
2026-04-16,883379,Memória Ram 16gb Ddr4 Ecc Para Servidores Dell Hpe E Lenovo,0.0,990.0,990.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/883379/memoria-ram-16gb-ddr4-ecc-para-servidores-dell-hpe-e-lenovo
2026-04-16,495634,"Memória Xpg Spectrix D35, 16GB, 1x16GB, 3200mhz, DDR4, Preto",0.0,1510.9,1359.81,10,0,0,True,Adata,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/495634/memoria-xpg-spectrix-d35-16gb-1x16gb-3200mhz-ddr4-preto
2026-04-16,677478,"Memória RAM XPG Lancer Blade, 16GB(2x8GB), DDR5, 6000MHz, Dual Tray, CL48, Preto- AX5U6000C4816G-DTLABBK",0.0,4235.28,3599.99,15,5,1,True,XPG,Hardware/Memória RAM/DDR 5,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/677478/memoria-ram-xpg-lancer-blade-16gb-2x8gb-ddr5-6000mhz-dual-tray-cl48-preto-ax5u6000c4816g-dtlabbk
2026-04-16,994456,Memoria Para Notebook 16gb Ddr4 3200mhz Hynix Hnaa2gs6cjr8n-xn Oem,0.0,899.0,854.05,5,0,0,True,HYNIX,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/994456/memoria-para-notebook-16gb-ddr4-3200mhz-hynix-hnaa2gs6cjr8n-xn-oem
2026-04-16,646263,"Memória Ram Klevv Cras V, 64GB (2x 32GB), 6400MHz, DDR5, RGB - CL32",0.0,8539.99,8539.99,0,0,0,True,Klevv,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/646263/memoria-ram-klevv-cras-v-64gb-2x-32gb-6400mhz-ddr5-rgb-cl32
2026-04-16,906024,Memória Ram Kingston 8GB Ddr4 2666mhz Kvr26n19s8/8 Dimm – Desktop,0.0,609.9,579.41,5,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,True,https://www.kabum.com.br/produto/906024/memoria-ram-kingston-8gb-ddr4-2666mhz-kvr26n19s8-8-dimm-desktop
2026-04-16,134822,"Memória Crucial, 4GB, 2400MHz, DDR4 - CT4G4DFS824A",0.0,322.73,322.73,0,0,0,True,Crucial,Hardware/Memória RAM/DDR 4,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/134822/memoria-crucial-4gb-2400mhz-ddr4-ct4g4dfs824a
2026-04-16,110900,"Memória RAM para Macbook Corsair, 4GB, 1066MHz, DDR3, CL7 - CMSA4GX3M1A1066C7",258.81,258.81,219.99,15,4,16,True,Corsair,Hardware/Memória RAM/DDR 3,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/110900/memoria-ram-para-macbook-corsair-4gb-1066mhz-ddr3-cl7-cmsa4gx3m1a1066c7
2026-04-16,533060,"Memória Gamer Dale7 No Limits, 16GB, 2666Mhz, DDR4, Desktop, Vermelho",0.0,866.89,866.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/533060/memoria-gamer-dale7-no-limits-16gb-2666mhz-ddr4-desktop-vermelho
2026-04-16,612344,Memória Kingston Fury Impact 8GB Ddr4 3200mhz Kf432s20ib/8,0.0,579.9,550.91,5,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,True,https://www.kabum.com.br/produto/612344/memoria-kingston-fury-impact-8gb-ddr4-3200mhz-kf432s20ib-8
2026-04-16,583185,"Memória RAM Corsair Vengeance RGB, 32GB (2x16GB), 5200MHz, DDR5, CL40, Branco - CMH32GX5M2B5200C40W",0.0,4941.16,4199.99,15,5,9,True,Corsair,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/583185/memoria-ram-corsair-vengeance-rgb-32gb-2x16gb-5200mhz-ddr5-cl40-branco-cmh32gx5m2b5200c40w
2026-04-16,736833,Memoria PC Ddr5 16gb 4800mhz 38400 Cl40 288pin Box Pn: Xlm2ypcd516gb4800,0.0,1878.85,1878.85,0,0,0,True,Xlinne,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/736833/memoria-pc-ddr5-16gb-4800mhz-38400-cl40-288pin-box-pn-xlm2ypcd516gb4800
2026-04-16,575897,Memória Diamond Series 16GB 3200Mhz DDR4 - RM-D4-16G-3200DW,0.0,1147.9,1033.11,10,0,0,True,Rise Mode,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/575897/memoria-16gb-ddr4-3200mhz-rise-mode-diamond-cl22-com-dissipador-branco-rm-d4-16g-3200d
